StartMeasure,car0,9
EndMeasure,car0,13
StartMeasure,car1,2
EndMeasure,car1,4
StartMeasure,car2,4
EndMeasure,car2,6
StartMeasure,car3,0
EndMeasure,car3,8
StartMeasure,car4,2
EndMeasure,car4,6
StartMeasure,car5,2
EndMeasure,car5,6
StartMeasure,car6,7
EndMeasure,car6,16
StartMeasure,car7,0
EndMeasure,car7,5
StartMeasure,car8,3
EndMeasure,car8,3
StartMeasure,car9,7
EndMeasure,car9,9
StartMeasure,car0,21
EndMeasure,car0,30
StartMeasure,car1,6
EndMeasure,car1,10
StartMeasure,car2,15
EndMeasure,car2,20
StartMeasure,car3,16
EndMeasure,car3,19
StartMeasure,car4,10
EndMeasure,car4,14
StartMeasure,car5,11
EndMeasure,car5,19
StartMeasure,car6,16
EndMeasure,car6,16
StartMeasure,car7,14
EndMeasure,car7,14
StartMeasure,car8,11
EndMeasure,car8,18
StartMeasure,car9,13
EndMeasure,car9,13
StartMeasure,car0,39
EndMeasure,car0,44
StartMeasure,car1,18
EndMeasure,car1,20
StartMeasure,car2,21
EndMeasure,car2,25
StartMeasure,car3,22
EndMeasure,car3,30
StartMeasure,car4,15
EndMeasure,car4,22
StartMeasure,car5,25
EndMeasure,car5,29
StartMeasure,car6,21
EndMeasure,car6,26
StartMeasure,car7,19
EndMeasure,car7,26
StartMeasure,car8,24
EndMeasure,car8,27
StartMeasure,car9,16
EndMeasure,car9,24
StartMeasure,car0,50
EndMeasure,car0,58
StartMeasure,car1,22
EndMeasure,car1,31
StartMeasure,car2,29
EndMeasure,car2,30
StartMeasure,car3,32
EndMeasure,car3,41
StartMeasure,car4,22
EndMeasure,car4,29
StartMeasure,car5,34
EndMeasure,car5,37
StartMeasure,car6,34
EndMeasure,car6,39
StartMeasure,car7,26
EndMeasure,car7,33
StartMeasure,car8,32
EndMeasure,car8,37
StartMeasure,car9,32
EndMeasure,car9,39
StartMeasure,car0,62
EndMeasure,car0,69
StartMeasure,car1,39
EndMeasure,car1,39
StartMeasure,car2,33
EndMeasure,car2,41
StartMeasure,car3,45
EndMeasure,car3,49
StartMeasure,car4,32
EndMeasure,car4,35
StartMeasure,car5,39
EndMeasure,car5,43
StartMeasure,car6,47
EndMeasure,car6,49
StartMeasure,car7,41
EndMeasure,car7,49
StartMeasure,car8,37
EndMeasure,car8,45
StartMeasure,car9,43
EndMeasure,car9,48
StartMeasure,car0,78
EndMeasure,car0,82
StartMeasure,car1,42
EndMeasure,car1,44
StartMeasure,car2,42
EndMeasure,car2,42
StartMeasure,car3,55
EndMeasure,car3,56
StartMeasure,car4,44
EndMeasure,car4,45
StartMeasure,car5,49
EndMeasure,car5,56
StartMeasure,car6,54
EndMeasure,car6,55
StartMeasure,car7,56
EndMeasure,car7,57
StartMeasure,car8,53
EndMeasure,car8,53
StartMeasure,car9,55
EndMeasure,car9,59
StartMeasure,car0,86
EndMeasure,car0,87
StartMeasure,car1,52
EndMeasure,car1,52
StartMeasure,car2,49
EndMeasure,car2,55
StartMeasure,car3,57
EndMeasure,car3,61
StartMeasure,car4,48
EndMeasure,car4,53
StartMeasure,car5,60
EndMeasure,car5,62
StartMeasure,car6,57
EndMeasure,car6,60
StartMeasure,car7,60
EndMeasure,car7,68
StartMeasure,car8,59
EndMeasure,car8,60
StartMeasure,car9,59
EndMeasure,car9,59
StartMeasure,car0,96
EndMeasure,car0,100
StartMeasure,car1,53
EndMeasure,car1,54
StartMeasure,car2,60
EndMeasure,car2,66
StartMeasure,car3,65
EndMeasure,car3,74
StartMeasure,car4,61
EndMeasure,car4,61
StartMeasure,car5,68
EndMeasure,car5,74
StartMeasure,car6,64
EndMeasure,car6,72
StartMeasure,car7,73
EndMeasure,car7,82
StartMeasure,car8,68
EndMeasure,car8,74
StartMeasure,car9,59
EndMeasure,car9,64
StartMeasure,car0,107
EndMeasure,car0,109
StartMeasure,car1,61
EndMeasure,car1,64
StartMeasure,car2,68
EndMeasure,car2,73
StartMeasure,car3,75
EndMeasure,car3,81
StartMeasure,car4,70
EndMeasure,car4,73
StartMeasure,car5,74
EndMeasure,car5,74
StartMeasure,car6,74
EndMeasure,car6,76
StartMeasure,car7,90
EndMeasure,car7,91
StartMeasure,car8,76
EndMeasure,car8,76
StartMeasure,car9,66
EndMeasure,car9,68
StartMeasure,car0,109
EndMeasure,car0,118
StartMeasure,car1,65
EndMeasure,car1,71
StartMeasure,car2,75
EndMeasure,car2,76
StartMeasure,car3,82
EndMeasure,car3,91
StartMeasure,car4,77
EndMeasure,car4,85
StartMeasure,car5,80
EndMeasure,car5,80
StartMeasure,car6,85
EndMeasure,car6,86
StartMeasure,car7,100
EndMeasure,car7,103
StartMeasure,car8,76
EndMeasure,car8,80
StartMeasure,car9,77
EndMeasure,car9,77
StartMeasure,car0,125
EndMeasure,car0,130
StartMeasure,car1,71
EndMeasure,car1,71
StartMeasure,car2,85
EndMeasure,car2,93
StartMeasure,car3,100
EndMeasure,car3,108
StartMeasure,car4,92
EndMeasure,car4,96
StartMeasure,car5,84
EndMeasure,car5,90
StartMeasure,car6,89
EndMeasure,car6,97
StartMeasure,car7,108
EndMeasure,car7,115
StartMeasure,car8,83
EndMeasure,car8,92
StartMeasure,car9,80
EndMeasure,car9,88
StartMeasure,car0,76
EndMeasure,car0,85
StartMeasure,car1,77
EndMeasure,car1,78
StartMeasure,car2,96
EndMeasure,car2,101
StartMeasure,car3,115
EndMeasure,car3,120
StartMeasure,car4,103
EndMeasure,car4,104
StartMeasure,car5,90
EndMeasure,car5,97
StartMeasure,car6,102
EndMeasure,car6,107
StartMeasure,car7,115
EndMeasure,car7,124
StartMeasure,car8,97
EndMeasure,car8,97
StartMeasure,car9,96
EndMeasure,car9,104
StartMeasure,car0,86
EndMeasure,car0,93
StartMeasure,car1,80
EndMeasure,car1,80
StartMeasure,car2,107
EndMeasure,car2,115
StartMeasure,car3,129
EndMeasure,car3,135
StartMeasure,car4,109
EndMeasure,car4,112
StartMeasure,car5,99
EndMeasure,car5,103
StartMeasure,car6,115
EndMeasure,car6,117
StartMeasure,car7,73
EndMeasure,car7,74
StartMeasure,car8,97
EndMeasure,car8,105
StartMeasure,car9,106
EndMeasure,car9,108
StartMeasure,car0,98
EndMeasure,car0,102
StartMeasure,car1,84
EndMeasure,car1,86
